name,times,balance,allPay,invest,y
41,14,4550,-10170,5000,0
10289,42,3163,-25440,22000,0
10559,3,554,-490,0,0
11099,87,24694,-47961,70000,0
11142,44,10953,-23693,10000,0
11159,1,0,-152,0,0
11362,1,0,-159,0,0
11426,10,10754,-8930,0,0
11449,25,10692,-18740,10000,0
11461,25,5114,-14270,10000,0
11465,28,8749,-21081,10000,0
11472,14,22332,-14966,0,0
11474,1,0,-13,0,0
11490,1,3146,-6,0,0
11497,21,9959,-18007,0,0
11529,54,5327,-19715,10000,1
11776,33,9662,-17270,0,0
11783,40,76292,-32360,0,0
11787,77,8986,-26676,40000,1
11789,42,9921,-20648,10000,0
11808,38,10646,-26101,30000,0
11812,35,5199,-17264,20000,0
11829,19,6966,-10610,10000,0
11846,29,5369,-20430,0,0
11849,58,10187,-30889,30000,0
12314,1,95,-20,0,0
12318,3,2370,-2460,0,0
12328,6,6814,-4130,0,0
12599,43,5733,-23205,20000,0
13305,2,196,-540,0,0
13354,33,3578,-18572,40000,0
13371,23,4554,-9890,15000,0
13373,18,5481,-5009,10000,1
13448,62,4139,-28206,28000,0
13456,13,4328,-8050,10000,0
13475,17,61108,-12810,0,0
13483,69,4987,-30155,30000,0
13487,64,3652,-22566,20000,1
13493,5,997,-840,0,0
13502,11,4052,-8090,0,0
13613,9,14696,-7470,0,0
13621,1,10034,0,10000,0
13653,5,3512,-2820,5000,0
13654,18,5117,-9648,10000,0
14758,33,5284,-26467,30000,0
14819,3,194,-590,0,0
14853,36,3484,-12045,5000,1
15069,9,14100,-36600,47300,0
15166,35,5595,-20036,10000,0
15181,22,3961,-11067,11000,0
15290,53,33399,-30735,0,0
15548,31,5852,-16372,20000,0
15581,14,4835,-9435,0,0
15973,19,6098,-6431,10000,1
15976,33,5571,-13214,15000,0
15977,17,7299,-8803,10000,0
15983,9,5380,-5020,0,0
15992,17,3847,-5403,10000,1
15996,52,5128,-14222,5000,1
16000,47,5596,-22743,30000,0
16012,55,4488,-26520,30000,0
16019,47,4390,-10142,16000,1
16044,44,8465,-21402,10000,0
16045,24,4126,-16787,15000,0
16048,44,13761,-22200,10000,0
16053,9,6999,-5790,15000,0
16054,57,4826,-22122,20000,1
16057,8,857,-1877,0,0
16062,50,16504,-25670,5000,0
16063,13,2048,-3533,3500,1
16066,64,4490,-24643,15000,1
16071,13,1616,-5374,5000,0
16074,33,3848,-15091,30000,0
16076,5,4872,-2454,0,0
16078,47,7482,-21508,10000,0
16079,15,3983,-5579,0,1
16176,22,4622,-6248,10000,1
16179,37,3520,-17540,19000,0
16218,11,21619,-18290,0,0
16224,39,4129,-16310,15000,0
16231,3,1148,-1200,0,0
16238,18,2908,-5197,5000,1
16242,27,3015,-12247,10000,0
16273,44,6636,-13606,10000,1
16276,22,3471,-12562,5000,0
16278,49,7812,-14546,20000,1
16281,13,983,-1905,0,1
16284,1,11582,-6000,0,0
16295,53,9936,-14003,5000,1
16296,14,7698,-5851,0,0
16299,41,3959,-15775,21000,1
16301,24,1409,-6999,6000,1
16313,42,12496,-11148,0,1
16322,46,6050,-31593,20000,0
16383,49,1702,-6433,3000,1
16399,26,5947,-13375,10000,0
16444,13,5885,-8946,10000,0
16445,25,8243,-12378,20000,0
16446,65,5151,-23074,25000,1
16448,21,13434,-7289,0,1
16455,22,4271,-10098,10000,0
16458,8,7175,-2300,10000,0
16459,10,3507,-7530,0,0
16460,66,7887,-35730,30000,0
16469,49,4763,-14302,10000,1
16483,47,6547,-14092,0,1
16490,33,5404,-16050,10000,0
16492,14,6547,-7420,10000,0
16493,26,6576,-9894,10000,1
16509,20,4164,-4396,0,1
16510,72,2310,-27184,25000,1
16518,82,5546,-29447,30000,1
16520,50,4845,-14537,15000,1
16528,53,5167,-20300,20000,1
16529,52,10072,-28844,40000,0
16534,55,12234,-23610,20000,0
16536,84,6610,-35201,17000,0
16540,65,6913,-25823,10000,1
16551,35,4989,-15367,10000,0
16577,29,4999,-12397,10000,0
16578,71,5974,-26064,20000,1
16589,60,3961,-17236,30000,1
16595,49,9647,-11451,20000,1
16598,29,994,-10354,10000,1
16613,26,5720,-4365,0,1
16627,38,1964,-15671,16000,0
16635,71,9485,-24032,25000,1
16638,55,6951,-23304,20000,0
16675,3,479,-1560,0,0
16679,43,3841,-16507,18000,1
16683,63,4376,-22297,14000,1
16689,64,4947,-20840,20000,1
16745,57,3703,-17171,16000,1
16751,44,5761,-15440,20000,1
16766,64,4814,-24666,21000,1
16769,39,5594,-17665,10000,0
16776,43,6007,-15531,10000,1
16777,35,5364,-20167,20000,0
16783,1,351,-45,0,0
16825,55,4755,-22858,15000,0
16845,56,3673,-23160,40000,0
16855,38,5968,-19406,10000,0
16858,23,4611,-14289,12000,0
16875,40,4094,-18693,15000,0
16877,13,3135,-6410,5000,0
16890,39,2643,-19250,13000,0
16931,57,4820,-22402,25000,1
16958,32,5614,-13490,10000,0
16968,29,6203,-8539,0,1
16973,47,2026,-17253,17000,1
16975,94,7228,-37001,36000,1
16977,57,4800,-25608,21000,0
16978,23,2640,-4998,0,1
16979,17,5920,-6682,10000,1
16980,9,1001,-2457,2000,0
16985,13,19010,-6580,0,0
17004,37,3022,-17212,13000,0
17059,28,4706,-14672,11000,0
17062,15,1000,-3163,2000,1
17071,43,1634,-8750,7000,1
17074,16,6340,-6274,0,1
17088,30,3305,-12362,25000,0
17089,41,5566,-16667,20000,0
17092,33,3175,-8780,20000,1
17129,33,4090,-15672,12000,0
17143,30,3453,-13671,10000,0
17149,41,7551,-16052,20000,1
17167,56,3915,-19741,20000,1
17180,44,2868,-17755,17000,0
17189,18,1841,-4190,0,1
17195,47,4561,-20020,22000,0
17210,40,769,-9070,9000,1
17214,45,4097,-21191,20000,0
17215,64,5242,-30534,30000,0
17240,46,22383,-41335,0,0
17242,52,7984,-27703,10000,0
17243,34,7557,-14374,0,0
17246,58,5547,-23802,25000,0
17248,33,12715,-23840,20000,0
17265,33,7861,-19000,10000,0
17273,16,2461,-3620,0,1
17277,15,5041,-7510,10000,0
17293,29,4241,-17430,15000,0
17295,30,11874,-20490,30000,0
17347,33,5073,-14970,2000,0
17356,39,10618,-18350,20000,0
17366,53,11479,-36197,20000,0
17370,42,9788,-21910,20000,0
17371,52,4375,-31874,36000,0
17373,55,10045,-24251,20000,0
17375,43,4429,-26431,20000,0
17379,57,6652,-34367,30000,0
17380,57,10824,-25484,20000,0
17382,43,4688,-9457,0,1
17383,38,8647,-21138,10000,0
17384,51,5175,-20253,20000,1
17385,2,450,-296,0,0
17386,64,13966,-42560,10000,0
17387,54,5774,-37729,30000,0
17388,44,22205,-29424,0,0
17389,71,9338,-33178,25000,0
17390,41,7332,-19702,5000,0
17391,12,3928,-7774,0,0
17393,27,4516,-10013,10000,1
17398,16,4223,-6829,10000,0
17415,48,6135,-19189,10000,1
17432,8,2751,-4490,0,0
17439,12,10391,-11660,0,0
17469,34,4121,-16178,20000,0
17473,7,789,-1810,0,0
17480,9,1029,-1650,2000,0
17484,10,2472,-5660,5000,0
17485,47,21103,-34504,30000,0
17487,55,11906,-23411,20000,0
17495,25,4632,-12711,10000,0
17496,19,14046,-5390,0,1
17499,56,13411,-25490,10000,0
17502,17,4613,-15669,10000,0
17503,49,6415,-23283,20000,0
17507,30,4836,-20198,20000,0
17512,41,5468,-18876,20000,0
17524,1,5586,0,0,0
17528,15,1319,-3625,0,1
17529,91,6914,-48546,45000,0
17532,20,3885,-13996,10000,0
17534,31,5389,-17571,15000,0
17540,59,4528,-31786,21000,0
17549,36,15734,-30665,30000,0
17550,6,1791,-5150,0,0
17552,34,4104,-14800,30000,0
17556,59,19712,-41824,40000,0
17559,18,5516,-12650,0,0
